央视频道,#genre#
第一财经,rtsp://115.233.41.137/PLTV/88888913/224/3221228012/10000100000000060000000000794032_0.smil
纪实人文,rtsp://115.233.41.137/PLTV/88888913/224/3221228168/10000100000000060000000002670197_0.smil
魅力足球,rtsp://115.233.41.137/PLTV/88888913/224/3221229176/10000100000000060000000005237035_0.smil
卡酷少儿,rtsp://115.233.41.137/PLTV/88888913/224/3221228016/10000100000000060000000000794035_0.smil
哈哈炫动,rtsp://115.233.41.137/PLTV/88888913/224/3221228052/10000100000000060000000000987759_0.smil
金鹰卡通,rtsp://115.233.41.137/PLTV/88888913/224/3221228007/10000100000000060000000000789248_0.smil

付费频道,#genre#
欢笑剧场,rtsp://115.233.41.137/PLTV/88888913/224/3221229240/72486906.smil
都市剧场,rtsp://115.233.41.137/PLTV/88888913/224/3221229244/72486950.smil
法制天地,rtsp://115.233.41.137/PLTV/88888913/224/3221229323/72486984.smil
动漫秀场,rtsp://115.233.41.137/PLTV/88888913/224/3221229236/72486907.smil
游戏风云,rtsp://115.233.41.137/PLTV/88888913/224/3221229289/72488480.smil
乐游频道,rtsp://115.233.41.137/PLTV/88888913/224/3221229285/72486834.smil
金色学堂,rtsp://115.233.41.137/PLTV/88888913/224/3221229315/72486946.smil
生活时尚,rtsp://115.233.41.137/PLTV/88888913/224/3221229277/72486909.smil
茶频道,rtsp://115.233.41.137/PLTV/88888913/224/3221229281/72486910.smil
快乐垂钓,rtsp://115.233.41.137/PLTV/88888913/224/3221229327/72487516.smil
睛彩竞技,rtsp://115.233.41.137/PLTV/88888913/224/3221229408/94611403.smil
睛彩篮球,rtsp://115.233.41.137/PLTV/88888913/224/3221229412/94611355.smil
睛彩青少,rtsp://115.233.41.137/PLTV/88888913/224/3221229411/94611457.smil
睛彩广场舞,rtsp://115.233.41.137/PLTV/88888913/224/3221229410/94611402.smil

综合频道,#genre#
爱看熊猫,rtsp://115.233.41.137/PLTV/88888913/224/3221229303/67227411.smil
熊猫宝宝幼儿园,rtsp://115.233.41.137/PLTV/88888913/224/3221229232/67227295.smil
大熊猫的一天,rtsp://115.233.41.137/PLTV/88888913/224/3221229269/67227366.smil
好易购1,rtsp://115.233.41.137/PLTV/88888913/224/3221229213/53485722.smil
好易购2,rtsp://115.233.41.137/PLTV/88888913/224/3221229439/121778722.smil
央广购物,rtsp://115.233.41.137/PLTV/88888913/224/3221229017/10000100000000060000000004414507_0.smil
优购物,rtsp://115.233.41.137/PLTV/88888913/224/3221229436/119642395.smil
直播室4,rtsp://115.233.41.137/PLTV/88888913/224/3221229007/10000100000000060000000004308260_0.smil
直播室5,rtsp://115.233.41.137/PLTV/88888913/224/3221229011/10000100000000060000000004308262_0.smil
直播室6,rtsp://115.233.41.137/PLTV/88888913/224/3221229015/10000100000000060000000004308263_0.smil
信号测试3,rtsp://115.233.41.137/PLTV/88888913/224/3221229181/50701500.smil
信号测试2,rtsp://115.233.41.137/PLTV/88888913/224/3221229177/49384090.smil
导视频道,rtsp://115.233.41.137/PLTV/88888913/224/3221228087/10000100000000060000000001432912_0.smil
导视,rtsp://115.233.41.137/PLTV/88888913/224/3221228038/10000100000000060000000001122729_0.smil

广播频道,#genre#
浙江之声广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228218/10000100000000060000000003102657_0.smil
浙江新闻广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228332/10000100000000060000000003102947_0.smil
浙江经济广播,rtsp://115.233.41.137/PLTV/88888913/224/3221228223/10000100000000060000000003102668_0.smil
浙江音乐调频,rtsp://115.233.41.137/PLTV/88888913/224/3221228228/10000100000000060000000003102672_0.smil
浙江交通之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228265/10000100000000060000000003102675_0.smil
浙江旅游之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228327/10000100000000060000000003102677_0.smil
浙江城市之声,rtsp://115.233.41.137/PLTV/88888913/224/3221228291/10000100000000060000000003102680_0.smil
浙江民生资讯,rtsp://115.233.41.137/PLTV/88888913/224/3221228233/10000100000000060000000003102678_0.smil
