央视频道,#genre#
睛彩篮球,rtsp://112.111.36.140/PLTV/88888909/224/3221225992/10000100000000060000000004800681_0.smil
睛彩竞技,rtsp://220.249.186.148:554/PLTV/88888909/224/3221225991/390124268.smil
睛彩青少,rtsp://220.249.186.148:554/PLTV/88888909/224/3221225998/390124585.smil
睛彩广场舞,rtsp://112.111.36.140/PLTV/88888909/224/3221225985/10000100000000060000000004800694_0.smil
北京纪实,rtsp://220.249.186.147:554/PLTV/88888909/224/3221225989/390009032.smil
金鹰纪实,rtsp://112.111.36.140/PLTV/88888909/224/3221225682/10000100000000060000000000390143_0.smil
中国天气,rtsp://112.111.36.140/PLTV/88888909/224/3221225805/10000100000000060000000001551139_0.smil
中国交通,rtsp://112.111.36.140/PLTV/88888909/224/3221225994/389442890.smil
财富天下,rtsp://112.111.36.140/PLTV/88888909/224/3221225704/10000100000000060000000000391508_0.smil
中国教育1台,rtsp://112.111.36.140/PLTV/88888909/224/3221225976/10000100000000060000000004308955_0.smil
中国教育2台,rtsp://112.111.36.140/PLTV/88888909/224/3221225747/10000100000000060000000000403955_0.smil
中国教育4台,rtsp://112.111.36.140/PLTV/88888909/224/3221225748/10000100000000060000000000403956_0.smil
金鹰卡通,rtsp://112.111.36.140/PLTV/88888909/224/3221225709/10000100000000060000000000400938_0.smil
卡酷动画,rtsp://112.111.36.140/PLTV/88888909/224/3221225710/10000100000000060000000000400947_0.smil
山东教育,rtsp://112.111.36.140/PLTV/88888909/224/3221225705/10000100000000060000000000391773_0.smil
嘉佳卡通,rtsp://112.111.36.140/PLTV/88888909/224/3221225708/10000100000000060000000000400919_0.smil

付费频道,#genre#
IPTV-热播剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225742/10000100000000060000000000402494_0.smil
IPTV-经典电影,rtsp://112.111.36.140/PLTV/88888909/224/3221225743/10000100000000060000000000403890_0.smil
IPTV-少儿动画,rtsp://112.111.36.140/PLTV/88888909/224/3221225739/10000100000000060000000000402460_0.smil
IPTV-魅力时尚,rtsp://112.111.36.140/PLTV/88888909/224/3221225740/10000100000000060000000000402461_0.smil
IPTV-谍战剧场,rtsp://112.111.36.140/PLTV/88888909/224/3221225728/10000100000000060000000000401568_0.smil
IPTV-相声小品,rtsp://112.111.36.140/PLTV/88888909/224/3221225729/10000100000000060000000000401590_0.smil
IPTV-野外频道,rtsp://112.111.36.140/PLTV/88888909/224/3221225730/10000100000000060000000000401591_0.smil
IPTV-法治频道,rtsp://112.111.36.140/PLTV/88888909/224/3221225731/10000100000000060000000000401625_0.smil
IPTV-收视指南,rtsp://112.111.36.140/PLTV/88888909/224/3221225741/10000100000000060000000000402493_0.smil
IPTV-3+,rtsp://112.111.36.140/PLTV/88888909/224/3221225732/10000100000000060000000000401626_0.smil
IPTV-5+,rtsp://112.111.36.140/PLTV/88888909/224/3221225744/10000100000000060000000000403891_0.smil
IPTV-6+,rtsp://112.111.36.140/PLTV/88888909/224/3221225735/10000100000000060000000000401650_0.smil
IPTV-8+,rtsp://112.111.36.140/PLTV/88888909/224/3221225736/10000100000000060000000000401651_0.smil
